회사명,종목코드,업종
동화약품,000020,의약품 제조
KR모터스,000040,운송장비 제조
경방,000050,종합 소매
메리츠화재,000060,보험
삼양홀딩스,000070,기타 금융
하이트진로,000080,알코올 음료
유한양행,000100,의약품 제조
CJ대한통운,000120,도로 화물 운송
하이트진로홀딩스,000140,기타 금융
두산,000150,회사 본부 및 경영 컨설팅
성창기업지주,000180,회사 본부 및 경영 컨설팅
DL,000210,기타 금융
유유제약,000220,의약품 제조
일동홀딩스,000230,의약품 제조
한국앤컴퍼니,000240,기타 금융
삼천당제약,000250,의약품 제조
기아,000270,자동차 엔진 및 자동차 제조
대유플러스,000300,통신 장비 제조
노루홀딩스,000320,기타 금융
한화손해보험,000370,보험
삼화페인트공업,000390,화학제품
롯데손해보험,000400,보험
대원강업,000430,자동차 부품
중앙에너비스,000440,전문 도매
조선내화,000480,"내화, 비내화 요업제품 제조"
대동,000490,특수 목적용 기계 제조
가온전선,000500,케이블 제조
삼일제약,000520,의약품 제조
흥국화재,000540,보험
CS홀딩스,000590,기타 금융
동아쏘시오홀딩스,000640,기타 금융
천일고속,000650,육상 여객 운송
SK하이닉스,000660,반도체 제조
영풍,000670,1차 비철금속 제조
LS네트웍스,000680,상품 종합 도매
유수홀딩스,000700,회사 본부 및 경영 컨설팅
현대건설,000720,토목 건설
이화산업,000760,전문 도매
삼성화재해상보험,000810,보험
화천기공,000850,특수 목적용 기계 제조
강남제비스코,000860,화학제품
한화,000880,화학제품
보해양조,000890,알코올 음료
유니온,000910,"시멘트, 석회, 플라스터"
전방,000950,방적 제조
한국주철관공업,000970,1차 철강
DB하이텍,000990,반도체 제조
신라섬유,001000,가전제품 및 정보통신장비 소매
페이퍼코리아,001020,"펄프, 종이 및 판지 제조"
CJ,001040,기타 금융
JW중외제약,001060,의약품 제조
대한방직,001070,직물제품 제조
만호제강,001080,1차 철강
LX인터내셔널,001120,상품 중개
대한제분,001130,곡물가공품 제조
국보,001140,도로 화물 운송
유진증권,001200,금융 지원
금호전기,001210,조명장치
동국제강,001230,1차 철강
GS글로벌,001250,상품 종합 도매
남광토건,001260,토목 건설
부국증권,001270,금융 지원
상상인증권,001290,금융 지원
백광산업,001340,화학물질 제조
삼성제약,001360,의약품 제조
SG글로벌,001380,자동차 부품
KG케미칼,001390,화학물질 제조
태원물산,001420,자동차 부품
세아베스틸지주,001430,1차 철강
대한전선,001440,케이블 제조
현대해상,001450,보험
BYC,001460,의복 제조
삼부토건,001470,토목 건설
현대차증권,001500,금융 지원
SK증권,001510,금융 지원
동양,001520,"시멘트, 석회, 플라스터"
디아이동일,001530,상품 중개
안국약품,001540,의약품 제조
조비,001550,농업 제품 제조
제일연마,001560,비금속 광물 제조
금양,001570,화학물질 제조
케이비아이동국실업,001620,자동차 부품
종근당홀딩스,001630,의약품 제조
대상,001680,기타 식품 제조
신영증권,001720,금융 지원
SK네트웍스,001740,전문 도매
한양증권,001750,금융 지원
SHD,001770,1차 철강
알루코,001780,1차 비철금속 제조
대한제당,001790,곡물가공품 제조
오리온홀딩스,001800,기타 금융
무림SP,001810,"펄프, 종이 및 판지 제조"
삼화콘덴서공업,001820,전자부품 제조
이화공영,001840,건물 건설
DL건설,001880,건물 건설
KISCO홀딩스,001940,1차 철강
코오롱,002020,기타 금융
아세아,002030,회사 본부 및 경영 컨설팅
비비안,002070,의복 제조
경농,002100,농업 제품 제조
고려산업,002140,곡물가공품 제조
도화엔지니어링,002150,건축기술
삼양통상,002170,"가죽, 가방 제조"
한국수출포장공업,002200,종이 제품 제조
동성제약,002210,의약품 제조
한일철강,002220,1차 철강
피에스텍,002230,정밀기기 제조
고려제강,002240,1차 철강
롯데푸드,002270,유제품 및 빙과류 제조
삼일기업공사,002290,건물 건설
아세아제지,002310,종이 제품 제조
한진,002320,도로 화물 운송
넥센타이어,002350,고무제품 제조
SH에너지화학,002360,화학물질 제조
케이씨씨,002380,화학제품
한독,002390,의약품 제조
범양건영,002410,건물 건설
세기상사,002420,방송 컨텐츠 제작
삼익악기,002450,악기 제조
화성산업,002460,건물 건설
조흥,002600,기타 식품 제조
제일파마홀딩스,002620,회사 본부 및 경영 컨설팅
오리엔트바이오,002630,의약품 제조
한탑,002680,곡물가공품 제조
동일제강,002690,1차 철강
신일전자,002700,기계장비 도매
TCC스틸,002710,1차 철강
국제약품,002720,의약품 제조
보락,002760,화학제품
진흥기업,002780,토목 건설
아모레퍼시픽그룹,002790,화학제품
신신제약,002800,의약품 제조
삼영무역,002810,전문 도매
SUN&L,002820,나무제품 제조
미원상사,002840,화학제품
신풍제지,002870,"펄프, 종이 및 판지 제조"
대유에이텍,002880,자동차 부품
TYM,002900,특수 목적용 기계 제조
유성기업,002920,자동차 부품
한국쉘석유,002960,석유 정제품 제조
금호건설,002990,건물 건설
부광약품,003000,의약품 제조
혜인,003010,기계장비 도매
세아제강지주,003030,기타 금융
에이프로젠제약,003060,의약품 제조
코오롱글로벌,003070,토목 건설
성보화학,003080,농업 제품 제조
대웅,003090,기타 금융
선광,003100,운송 서비스
일성신약,003120,의약품 제조
디아이,003160,정밀기기 제조
일신방직,003200,방적 제조
대원제약,003220,의약품 제조
삼양식품,003230,기타 식품 제조
