,title,company_name,company_code,category,report_date,suggestion,writer,report_corp,target_est,current_est,current_est_date,summary,keywords,pdf_link,pdf_id
0,전 지역이 기대치 이상,오리온,271560,기타 식품 제조,2022-05-18,BUY,"이경신, 박이경",하이투자증권,155000,91200,2022-05-17,리오픈관련 채널 및 제품대응과 비용효율화 전략을 고려한다면 직접적인 가격인상 없이도 외형 마진 개선에 대한 추가 기대 또한 긍정적이다.,제품 성장 가동 봉쇄 중국 일부 공장 채널 대응 대외 러시아 리스크 업체 외형 필요 중심 긍정 지정학적 완화 가능성 지배 최소 인상 지역 변수 일시 초점 출고 장기 경쟁력 베트남 소비 신제품 의미 기여 대도시 락다운 하락 포트폴리오 환경 눈높이 경쟁 달리 물량성장 진두 지휘 원부 자재 유틸리티 운임,https://markets.hankyung.com/pdf/2022/05/6e06a074814dcb104becc524e646c054,6e06a074814dcb104becc524e646c054
1,우려가 무색한 실적과 일본 가동 재개,에스엠,041510,음반 제작,2022-05-18,BUY,박다겸,하이투자증권,96000,61300,2022-05-16,2 분기부터 일본 오프라인 매출이 재개되고 하반기에는 주력 라인업인 에스파의 미국진출과 신규 보이그룹이 데뷔할 예정이다.,오프라인 일본 재개 음반 코로나 라인업 아티스트 요인 다수 존재 하나 본질 팬덤 펀더멘털 디어 유의 제외 자회사 비수 레벨 하반기 주력 에스 파의 미국 진출 신규 보이 그룹 데뷔 예정 판매 호조 상쇄하 결과 외로 매각 활동 엔터 객수 연동 양상 회복 기대,https://markets.hankyung.com/pdf/2022/05/fb849143554a7422d4e6f29989225b85,fb849143554a7422d4e6f29989225b85
2,"변화의 움직임, 이제 시작일 뿐이다",LX세미콘,108320,반도체 제조,2022-05-18,BUY,"정원석, 박상욱",하이투자증권,230000,125000,2022-05-17,"동사는 텔레칩스와의 협업을 통해 차량용/가전용 SoC 와 MCU 사업 등을 강화할 계획이며, 이는 중국 패널 고객사 내 점진적인 점유율 상승과 OLED TV 향 T- Con,DDI 수요가 강하게 이어지고 있기 때문이다.",성장 제품 견조 수요 중국 목적 텔레칩스 협업 기능 반도체 계절 세트 패널 고객 점유 전자 올해 매수 달리 기술 연구개발 협력 추진 주식 취득 사주 유상증자 활용 차량 가전 계획 여러가지 시스템 하나 구현 설정 정해진 수행 프로그래밍 의미 규모 전사 차지 대부분 디스플레이 집중 제한 다변 긍정 내내,https://markets.hankyung.com/pdf/2022/05/1fded5dda616e6060d0b8fa3f97e2792,1fded5dda616e6060d0b8fa3f97e2792
3,JYP Ent.(035900) 성장곡선에 진입한 주력 라인업,JYP Ent.,035900,음반 제작,2022-05-18,BUY,박다겸,하이투자증권,65700,56600,2022-05-16,"상반기 데뷔한 엔믹스는 음반 판매량이 45 만장에 달하고 하반기 중 파트 1 방영 예정인 니지 프로젝트 2를 포함해서 2023년 3개 이상 신인 그룹으로 성장할 것으로 보이며, 컨텐츠 제작/유통 비용의 일시적인 증가와 해외 매니먼트 재개에 따른 기타 원가 증가로 영업이익률은 28.3%를 기록했다.",성장 데뷔 곡선 진입 주력 라인업 신인 모멘텀 예정 년차 남자 그룹 스트 레이 키즈 성과 코로나 구간 팬덤 증명 각종 지표 계단 기대 일본 트와이스 니쥬 보유 상반기 믹스 앨범 음반 만장 하반기 파트 방영 니지 프로젝트 대기 컨텐츠 제작 유통 일시 해외 매니지먼트 재개 티켓 오픈 일만 미국,https://markets.hankyung.com/pdf/2022/05/4fab4d389769668688f00c5419c50296,4fab4d389769668688f00c5419c50296
4,1Q22 Review: 우호적인 영업환경 지속,이수페타시스,007660,전자부품 제조,2022-05-18,BUY,"백길현, 이재윤",유안타증권,13000,7260,2022-05-16,"2Q22 예상 매출액과 영업이익은 각각 1,460억원, 205억원으로 추정되며 글로벌 물류 차질, 일부 지역내 COVID Lockdown 등 매크로 이슈에 따른 리스크가 상존하지만 향후 고객사 다변화 기반으로 안정적인 분기 매출 흐름으로 이어질 것으로 전망된다.",고다 다변 고객 견조 우호 달러 환율 여건 긍정 중심 가동 생산 시설 효율 수주 대응 미국 우주 항공 업체 인수 확장 포트폴리오 적극 전방 부품 소싱 중국 글로벌 물류 차질 일부 지역 매크로 이슈 리스크 상존 안정 흐름,https://markets.hankyung.com/pdf/2022/05/d7a619b509895c4055f909544b1ed9a4,d7a619b509895c4055f909544b1ed9a4
5,극복하고 있는 중국,오리온,271560,기타 식품 제조,2022-05-18,BUY,"박은정, 송선우",유안타증권,130000,91200,2022-05-17,"오리온의 2분기 실적은 연결 매출 5,653억원, 영업이익 666억원 전망으로 원부자재 단가 상승 영향에도 불구하고 견고한 이익 성장세를 이어갈 것으로 보인다.",법인 성장 생산 오리온 중국 코로나 가동 회복 레버리지 통제 봉쇄 대처 흐름 원자재 외부 극복 존재 변동 동기 한국 베트남 러시아 제로 정책 민생 용품 업체 재개 합산 부대 방어 광저우 쑨양 공장 숙식 운영 병행 정상 제품 출고 유통 채널 확장 판매 파이 스낵 신제품 집중 출시 예정,https://markets.hankyung.com/pdf/2022/05/3a5324806de1343895ba671dd6eeda05,3a5324806de1343895ba671dd6eeda05
6,일회성 요소 제거하 면 별도 OPM 25%,에스엠,041510,음반 제작,2022-05-18,BUY,이혜인,유안타증권,112000,61300,2022-05-16, 2TM의 음반 매출과 음원 매출이 전년동기대비 +10%p 상승하며 견조한 성장세를 지속하고 있다.,음반 규모 콘서트 음원 가율 지급 판관 라이 체력 오프라인 투어 도실 달성 견조 성장 드림 레드 벨벳 태연 컴백 국내 하량 유형 판매 출연 레이 루한 중국 현지 활동 로열티 발생 달콤 소프트 슈퍼스타 타운 제작사 활용 계약 갱신 신규 계약금 수취 직원 대상 스탁 그랜트 비단 결과 크기,https://markets.hankyung.com/pdf/2022/05/b6818edee5d70b2bd654f1f03d6de965,b6818edee5d70b2bd654f1f03d6de965
7,"1Q 부진, 3Q 회복",옵트론텍,082210,광학기기 제조,2022-05-18,BUY,박강호,대신증권,10000,6240,2022-05-16,삼성과 스마트폰의 중저가 라인업 확대로 인해 수익성은 전분기대비 개선될 전망이다.,생산 성장 광학 하반기 필터 마진 고객 저가 중심 국내 진출 보정 부품 다각 추진 업체 기회 적지 연속 적자 설비 베트남 이전 일부 차질 경쟁심 화로 정체 하락 성은 사의 스마트폰 제한 포인트 전장 토대 구축 신규 전자 라인업 갤럭시 시리즈 채택 측면 형태 변화 후발 주자 부여 안정,https://markets.hankyung.com/pdf/2022/05/f66ca4567a42de7055c0a86ef33555ca,f66ca4567a42de7055c0a86ef33555ca
8,거리두기 완화에 따른 실적 수혜 확인,CJ,001040,기타 금융,2022-05-18,BUY,"최남곤, 송선우",유안타증권,140000,84000,2022-05-16,"CJ올리브영의 별도 매출액과 영업이익은 각각 1,071억원, 882억원을 기록했으며 상표권 수익은 243억원이고 배당수익도 812억원으로 파악된다.",배당 올리브영 하반기 상장 흑자 상표권 자회사 로부터 수취 지급 올해 배당금 육박 이상무 비상 사의 양호 계획 예정 드빌 손익 전환 거리 두기 완화 외식 수요 회복 점포 중심 구조조정 회사 구조 올리브 네트웍 대부분 외부 아웃소싱 인건비 외형 성장 다음 포인트 주목,https://markets.hankyung.com/pdf/2022/05/c4e99ae332df4e21eaeb55e4d3a6ee5a,c4e99ae332df4e21eaeb55e4d3a6ee5a
9,안정적인 성장 속에 분기 최고 매출액 달성. Valuation 매력 보유,민앤지,214180,서비스,2022-05-18,BUY,박종선,유진투자증권,29000,16650,2022-05-16,"221(십억원) 안정적인 성장 속에 분기 최고 매출액을 달성한 것은 종속회사인 세틀뱅크의 프로모션 비용이 증가하였고 자회사 바이오일레븐이 경상연구개발비의 증가로 인해 영업적자가 반영되었기 때문이며, 본사의 기존 서비스와 달리 간편결제매니저, 주식정보서비스 등 신규 사업의 매출이 안정적으로 성장을 지속하고 있기 때문으로 보인다.",서비스 자회사 성장 뱅크 안정 달성 바이오 일레븐 긍정 본사 간편 결제 보유 십억원 회하 회한 회사 프로모션 경상 연구개발 적자 역대 것임 신규 현금 건강 기능 식품 판매 경신 휴대폰번호 도용 방지 로그인 플러스 둔화 매니저 주식 정보 생활 가맹 매력 여력 괴리율 상실 국내외 유사 업체 할인 거래,https://markets.hankyung.com/pdf/2022/05/7266adad97526d1431657023117b6657,7266adad97526d1431657023117b6657
10,"사업 다각화, 고객 다변화로 본격 이륙 중. Valuation 매력 보유",서진시스템,178320,통신 장비 제조,2022-05-18,BUY,박종선,유진투자증권,26000,18000,2022-05-16,"677(십억원) 사업 다각화, 고객 다변화로 본격 이륙 중이며 물류 문제에 따른 제품 납품 지연으로 전년 동기 대비 매출액은 4.1% 증가하고, 영업이익은 69.4% 감소하였으나 1분기 수익성은 52.0% 하회한 것으로 판단하고 있다.",공급 부품 성장 장비 제품 지연 달성 이외 십억원 다각 고객 다변 화로 이륙 물류 문제 납품 동기 전일 발표 성함 정치 생산 원자재 인건비 하락 안정 상실 이연 것임 통신 삼성 전자 에릭슨 미국 후지쯔 반도체 화성 신규 진출 컨테이너 가시 하반기 양산 여력 괴리율 보유 유사 업체 할인,https://markets.hankyung.com/pdf/2022/05/f2a54d02c68248e18c0b787041ac1614,f2a54d02c68248e18c0b787041ac1614
